Name,Age,Height (m),Weight (kg),Runs,Country,Club,DOB
Trent Root,19,1.78,66,2667,Bangladesh,Kolkata Knight Riders,2006-01-24
Aaron Williamson,28,1.93,91,11422,West Indies,Rajasthan Royals,1997-03-10
Hardik Pandya,35,1.8,67,9964,Bangladesh,Punjab Kings,1990-07-23
Rishabh Boult,28,1.9,70,6331,New Zealand,Rajasthan Royals,1997-02-02
Jos Root,25,1.97,73,7466,India,Sunrisers Hyderabad,2000-09-16
Aaron Buttler,32,1.97,84,11727,Sri Lanka,Royal Challengers Bangalore,1993-04-20
Rohit Rahul,39,1.91,95,7191,Sri Lanka,Rajasthan Royals,1986-09-10
Kane Root,36,1.83,80,9920,West Indies,Punjab Kings,1989-11-02
Jason Sharma,33,2.04,66,10190,India,Chennai Super Kings,1992-07-07
Trent duPlessis,40,1.93,63,11818,Sri Lanka,Rajasthan Royals,1985-01-01
KL Finch,29,1.86,86,1566,Australia,Rajasthan Royals,1996-11-10
Pat Marsh,32,1.84,84,9178,India,Mumbai Indians,1993-08-26
Babar Cummins,30,2.01,88,673,New Zealand,Royal Challengers Bangalore,1995-09-21
Shakib Smith,33,1.95,92,9124,South Africa,Delhi Capitals,1992-08-14
Virat Finch,20,1.7,61,8065,Sri Lanka,Chennai Super Kings,2005-04-14
Babar AlHasan,30,1.87,84,3939,Sri Lanka,Sunrisers Hyderabad,1995-10-27
Ben Finch,22,1.67,85,4052,Pakistan,Punjab Kings,2003-01-10
Rishabh Rahul,29,1.96,75,10824,South Africa,Punjab Kings,1996-11-21
Virat Azam,39,1.98,61,3780,New Zealand,Chennai Super Kings,1986-08-24
Jason Rahul,18,1.84,71,11274,England,Delhi Capitals,2007-04-02
Jason Rahul,40,1.89,86,8928,Afghanistan,Royal Challengers Bangalore,1985-12-02
Joe Roy,27,1.78,83,10278,West Indies,Chennai Super Kings,1998-08-04
Quinton Sharma,39,2.05,88,1115,South Africa,Sunrisers Hyderabad,1986-09-21
Mitchell Rahul,31,1.72,61,7140,Pakistan,Punjab Kings,1994-05-19
David Smith,40,1.68,62,1088,Australia,Chennai Super Kings,1985-01-02
Jos Cummins,34,1.71,95,7297,India,Sunrisers Hyderabad,1991-12-09
Faf Stokes,29,1.97,69,6728,Bangladesh,Royal Challengers Bangalore,1996-02-21
Steve Azam,18,1.79,66,1621,Sri Lanka,Sunrisers Hyderabad,2007-10-15
Kane Azam,40,1.69,81,5736,Sri Lanka,Kolkata Knight Riders,1985-01-20
Aaron Kohli,27,1.78,67,2329,India,Rajasthan Royals,1998-08-25
Jason Pandya,19,1.79,94,8621,West Indies,Delhi Capitals,2006-12-22
Faf duPlessis,35,1.99,81,2503,Bangladesh,Kolkata Knight Riders,1990-09-25
Virat Roy,24,1.84,67,10712,England,Delhi Capitals,2001-11-11
Rohit Cummins,18,1.67,79,11215,India,Rajasthan Royals,2007-09-13
Jason Warner,25,1.94,80,8854,New Zealand,Kolkata Knight Riders,2000-11-24
Aaron Sharma,39,1.82,69,1846,Afghanistan,Mumbai Indians,1986-09-04
Trent Rahul,22,1.77,70,1621,Pakistan,Sunrisers Hyderabad,2003-10-17
Trent Azam,32,1.97,81,7930,West Indies,Punjab Kings,1993-02-04
Virat Roy,22,1.93,74,4154,Pakistan,Chennai Super Kings,2003-08-27
Steve Warner,33,1.95,85,2700,Bangladesh,Royal Challengers Bangalore,1992-08-02
Hardik Sharma,21,1.82,71,9524,Afghanistan,Sunrisers Hyderabad,2004-10-14
Mitchell Pandya,19,1.8,68,6707,India,Punjab Kings,2006-01-16
Joe Warner,37,1.79,64,9272,Australia,Sunrisers Hyderabad,1988-11-14
Rohit Kohli,29,1.97,79,909,India,Sunrisers Hyderabad,1996-03-09
Hardik Finch,24,1.96,65,6103,New Zealand,Chennai Super Kings,2001-09-07
Joe Pandya,36,1.94,81,10123,South Africa,Chennai Super Kings,1989-03-20
Babar duPlessis,26,1.73,76,10484,Sri Lanka,Chennai Super Kings,1999-03-09
Ben Pandya,31,1.97,64,7022,South Africa,Kolkata Knight Riders,1994-05-05
Shakib AlHasan,22,1.66,84,9390,Australia,Sunrisers Hyderabad,2003-12-03
Ben Buttler,19,1.86,71,1310,Afghanistan,Punjab Kings,2006-02-06
Babar Buttler,29,2.01,91,9669,West Indies,Royal Challengers Bangalore,1996-06-25
Faf Pant,39,1.85,91,2965,Afghanistan,Rajasthan Royals,1986-11-28
Kane Smith,21,1.97,88,1230,England,Rajasthan Royals,2004-03-06
Rohit Sharma,23,1.78,62,8840,Pakistan,Royal Challengers Bangalore,2002-11-25
Faf Kohli,28,1.9,84,9418,Pakistan,Punjab Kings,1997-04-23
KL Cummins,30,1.85,70,729,Afghanistan,Mumbai Indians,1995-12-09
Faf Buttler,40,2.02,93,7751,South Africa,Royal Challengers Bangalore,1985-04-19
KL duPlessis,18,1.84,62,1125,India,Royal Challengers Bangalore,2007-04-25
Rishabh Williamson,26,2.0,69,1329,Afghanistan,Delhi Capitals,1999-05-26
Trent Finch,26,2.0,92,2685,New Zealand,Rajasthan Royals,1999-09-04
Pat deKock,20,1.88,70,1076,Pakistan,Rajasthan Royals,2005-08-14
KL AlHasan,40,1.87,91,4699,New Zealand,Sunrisers Hyderabad,1985-07-02
Mitchell Root,40,1.74,87,1506,Australia,Chennai Super Kings,1985-05-26
Rishabh Root,25,1.71,65,6922,Sri Lanka,Sunrisers Hyderabad,2000-05-01
Pat Boult,32,1.65,71,5221,Bangladesh,Kolkata Knight Riders,1993-05-08
Pat Kohli,18,1.69,68,5803,Sri Lanka,Royal Challengers Bangalore,2007-08-16
David Root,28,1.74,92,9126,South Africa,Royal Challengers Bangalore,1997-01-08
Aaron Williamson,39,1.76,84,7755,New Zealand,Chennai Super Kings,1986-02-28
